amenity,frequency,avg_price_with,avg_price_without,avg_area_with,avg_area_without,price_diff
Balcony,885,28485669.37627119,24292507.05882353,216.8463276836158,202.97058823529412,4193162.3174476586
Covered Parking,866,28375148.542725172,27601584.905660376,216.60739030023095,211.8490566037736,773563.6370647959
Central A C,814,28134802.995085996,29847933.333333332,217.74201474201473,205.40952380952382,-1713130.3382473364
Maids Room,786,28882865.385496184,25066394.32330827,219.84605597964378,195.57142857142858,3816471.062187914
Built In Wardrobes,782,28382812.687979538,28032139.532846715,216.56265984654732,215.02189781021897,350673.1551328227
Private Garden,781,29149999.453265045,23692848.29710145,222.56466069142127,181.06521739130434,5457151.156163596
Shared Pool,777,28189119.117117118,29104345.66197183,217.02187902187902,212.56338028169014,-915226.5448547117
Kitchen Appliances,762,28915864.202099737,25489644.050955415,219.26902887139107,202.0828025477707,3426220.151144322
Private Pool,744,29294081.346774194,24234092.09142857,220.56854838709677,198.3257142857143,5059989.255345624
Study,310,27493048.722580645,28756843.24137931,213.78709677419354,217.62889983579637,-1263794.5187986642
View Of Water,187,26076998.26737968,28906234.920765027,191.0374331550802,222.79508196721312,-2829236.6533853486
Security,173,24026474.658959538,29328662.898123324,196.83815028901734,220.85388739946382,-5302188.239163786
Shared Spa,108,26119928.75,28624920.262638718,184.94444444444446,220.51294697903822,-2504991.512638718
Shared Gym,85,22046662.411764707,28970978.816546764,174.3294117647059,220.61390887290167,-6924316.404782057
Walk-In Closet,45,18382111.111111112,28842754.734553777,151.13333333333333,219.68993135011442,-10460643.623442665
View Of Landmark,32,21233309.8125,28586580.29763247,190.125,217.27846674182638,-7353270.485132471
Lobby In Building,20,25830650.0,28386150.876529478,184.8,217.0344827586207,-2555500.8765294775
Children'S Pool,20,22958650.0,28450044.09121246,196.15,216.78197997775305,-5491394.091212459
